"Column Name","Label"
"DP4_C140","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$1,500 to $1,999"
"DP4_C141","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$1,500 to $1,999"
"DP4_C142","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$2,000 or more"
"DP4_C143","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!$2,000 or more"
"DP4_C144","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!Median (dollars)"
"DP4_E3","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!With a mortgage!!Median (dollars)"
"DP4_C145","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Not mortgaged"
"DP4_C146","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Not mortgaged"
"DP4_C147","Number!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Not mortgaged!!Median (dollars)"
"DP4_E4","Percent!!Specified owner-occupied units!!MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS!!Not mortgaged!!Median (dollars)"
"DP4_C148","Number!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!Less than 15 percent"
"DP4_C149","Percent!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!Less than 15 percent"
"DP4_C150","Number!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!15 to 19 percent"
"DP4_C151","Percent!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!15 to 19 percent"
"DP4_C152","Number!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!20 to 24 percent"
"DP4_C153","Percent!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!20 to 24 percent"
"DP4_C154","Number!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!25 to 29 percent"
"DP4_C155","Percent!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!25 to 29 percent"
"DP4_C156","Number!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!30 to 34 percent"
"DP4_C157","Percent!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!30 to 34 percent"
"DP4_C158","Number!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!35 percent or more"
"DP4_C159","Percent!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!35 percent or more"
"DP4_C160","Number!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!Not computed"
"DP4_C161","Percent!!Specified owner-occupied units!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!Not computed"
"DP4_C162","Number!!Specified renter-occupied units"
"DP4_C163","Percent!!Specified renter-occupied units"
"DP4_C164","Number!!Specified renter-occupied units!!GROSS RENT!!Less than $200"
"DP4_C165","Percent!!Specified renter-occupied units!!GROSS RENT!!Less than $200"
"DP4_C166","Number!!Specified renter-occupied units!!GROSS RENT!!$200 to $299"
"DP4_C167","Percent!!Specified renter-occupied units!!GROSS RENT!!$200 to $299"
"DP4_C168","Number!!Specified renter-occupied units!!GROSS RENT!!$300 to $499"
"DP4_C169","Percent!!Specified renter-occupied units!!GROSS RENT!!$300 to $499"
"DP4_C170","Number!!Specified renter-occupied units!!GROSS RENT!!$500 to $749"
"DP4_C171","Percent!!Specified renter-occupied units!!GROSS RENT!!$500 to $749"
"DP4_C172","Number!!Specified renter-occupied units!!GROSS RENT!!$750 to $999"
"DP4_C173","Percent!!Specified renter-occupied units!!GROSS RENT!!$750 to $999"
"DP4_C174","Number!!Specified renter-occupied units!!GROSS RENT!!$1,000 to $1,499"
"DP4_C175","Percent!!Specified renter-occupied units!!GROSS RENT!!$1,000 to $1,499"
"DP4_C176","Number!!Specified renter-occupied units!!GROSS RENT!!$1,500 or more"
"DP4_C177","Percent!!Specified renter-occupied units!!GROSS RENT!!$1,500 or more"
"DP4_C178","Number!!Specified renter-occupied units!!GROSS RENT!!No cash rent"
"DP4_C179","Percent!!Specified renter-occupied units!!GROSS RENT!!No cash rent"
"DP4_C180","Number!!Specified renter-occupied units!!GROSS RENT!!Median (dollars)"
"DP4_E5","Percent!!Specified renter-occupied units!!GROSS RENT!!Median (dollars)"
"DP4_C181","Number!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!Less than 15 percent"
"DP4_C182","Percent!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!Less than 15 percent"
"DP4_C183","Number!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!15 to 19 percent"
"DP4_C184","Percent!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!15 to 19 percent"
"DP4_C185","Number!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!20 to 24 percent"
"DP4_C186","Percent!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!20 to 24 percent"
"DP4_C187","Number!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!25 to 29 percent"
"DP4_C188","Percent!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!25 to 29 percent"
"DP4_C189","Number!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!30 to 34 percent"
"DP4_C190","Percent!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!30 to 34 percent"
"DP4_C191","Number!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!35 percent or more"
"DP4_C192","Percent!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!35 percent or more"
"DP4_C193","Number!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!Not computed"
"DP4_C194","Percent!!Specified renter-occupied units!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN 1999!!Not computed"
